数据库：国际数据主要国家(地区)年度数据
指标：国际旅游收入(现价美元)(美元)
时间：最近20年
时间,比利时,丹麦,英国,德国,法国,爱尔兰,意大利,卢森堡,荷兰,希腊,葡萄牙,西班牙,阿尔巴尼亚,安道尔,奥地利,保加利亚,芬兰,直布罗陀,匈牙利,冰岛,列支敦士登,马耳他,摩纳哥,挪威,波兰,罗马尼亚,圣马力诺,瑞典,瑞士,爱沙尼亚,拉脱维亚,立陶宛,格鲁吉亚,亚美尼亚,阿塞拜疆,白俄罗斯,摩尔多瓦,俄罗斯联邦,乌克兰,南斯拉夫(塞尔维亚和黑山),斯洛文尼亚,克罗地亚,捷克,斯洛伐克,前南马其顿,波黑,梵蒂冈,塞尔维亚,黑山,海峡群岛,法罗群岛
2015,13084000000.00,6685000000.00,60744000000.00,47393000000.00,54003000000.00,10802000000.00,39420000000.00,4875000000.00,19320000000.00,17260000000.00,15819000000.00,56426000000.00,1614000000.00,,18273000000.00,3583000000.00,2560000000.00,,6944000000.00,1618000000.00,,1367000000.00,,6385000000.00,11354000000.00,2097000000.00,,11307000000.00,19588000000.00,1818000000.00,1133000000.00,1310000000.00,2117000000.00,956000000.00,2535000000.00,1016000000.00,285000000.00,13249000000.00,1656000000.00,,2697000000.00,9018000000.00,6758000000.00,2411000000.00,270000000.00,702000000.00,,1322000000.00,947000000.00,,
2014,15235000000.00,7617000000.00,58935000000.00,55939000000.00,66803000000.00,11093000000.00,45547000000.00,6153000000.00,18632000000.00,19481000000.00,17723000000.00,65100000000.00,1849000000.00,,20907000000.00,4518000000.00,3679000000.00,,7487000000.00,1375000000.00,,1521000000.00,,7503000000.00,12924000000.00,2225000000.00,,11846000000.00,21417000000.00,2231000000.00,1244000000.00,1383000000.00,1972000000.00,994000000.00,2713000000.00,1230000000.00,322000000.00,19451000000.00,2264000000.00,,2944000000.00,10079000000.00,7614000000.00,2619000000.00,298000000.00,755000000.00,,1352000000.00,959000000.00,,
2013,14536000000.00,6490000000.00,53052000000.00,55318000000.00,66049000000.00,9538000000.00,43829000000.00,5744000000.00,20910000000.00,17436000000.00,16210000000.00,62584000000.00,1670000000.00,,20220000000.00,4410000000.00,4048000000.00,,6671000000.00,1078000000.00,,1402000000.00,,7175000000.00,12432000000.00,2048000000.00,,10857000000.00,20321000000.00,2022000000.00,1190000000.00,1374000000.00,1916000000.00,905000000.00,2618000000.00,1156000000.00,316000000.00,20198000000.00,5931000000.00,,2900000000.00,9715000000.00,7792000000.00,2633000000.00,270000000.00,752000000.00,,1221000000.00,929000000.00,,
2012,13711000000.00,6135000000.00,47070000000.00,51645000000.00,64001000000.00,9064000000.00,40960000000.00,5476000000.00,12261000000.00,14671000000.00,14582000000.00,57877000000.00,1623000000.00,,18937000000.00,3975000000.00,5415000000.00,,6149000000.00,865000000.00,,1260000000.00,,6784000000.00,11888000000.00,1904000000.00,,10104000000.00,19598000000.00,1286000000.00,745000000.00,1317000000.00,1565000000.00,853000000.00,2634000000.00,986000000.00,279000000.00,17876000000.00,5988000000.00,,2737000000.00,8912000000.00,8174000000.00,2366000000.00,237000000.00,686000000.00,,1080000000.00,860000000.00,,
2011,12742000000.00,6366000000.00,44741000000.00,53431000000.00,66087000000.00,9526000000.00,43241000000.00,5358000000.00,12897000000.00,16256000000.00,14901000000.00,62447000000.00,1833000000.00,,19775000000.00,4297000000.00,5591000000.00,,7239000000.00,751000000.00,,1276000000.00,,6565000000.00,11649000000.00,2016000000.00,,10209000000.00,20644000000.00,1256000000.00,771000000.00,1321000000.00,1069000000.00,762000000.00,1500000000.00,747000000.00,253000000.00,16961000000.00,5406000000.00,,2953000000.00,9598000000.00,8930000000.00,2514000000.00,242000000.00,722000000.00,,1149000000.00,926000000.00,,
2010,11395000000.00,5704000000.00,40138000000.00,49128000000.00,56187000000.00,8187000000.00,38438000000.00,4519000000.00,11653000000.00,13858000000.00,12985000000.00,54305000000.00,1780000000.00,,18758000000.00,3807000000.00,4510000000.00,,6595000000.00,562000000.00,,1066000000.00,,5299000000.00,10037000000.00,1631000000.00,,10674000000.00,17617000000.00,1065000000.00,640000000.00,958000000.00,737000000.00,694000000.00,792000000.00,665000000.00,222000000.00,13239000000.00,4696000000.00,,2721000000.00,8299000000.00,8068000000.00,2335000000.00,199000000.00,662000000.00,,950000000.00,765000000.00,,
2009,11423000000.00,5617000000.00,37272000000.00,47462000000.00,58858000000.00,8458000000.00,40375000000.00,4546000000.00,12063000000.00,16027000000.00,12344000000.00,55748000000.00,2014000000.00,,19154000000.00,4273000000.00,4104000000.00,,7013000000.00,550000000.00,,899000000.00,,4949000000.00,9889000000.00,1688000000.00,,9769000000.00,16670000000.00,1090000000.00,724000000.00,972000000.00,537000000.00,570000000.00,545000000.00,563000000.00,240000000.00,12369000000.00,4349000000.00,,2735000000.00,9300000000.00,8164000000.00,2539000000.00,232000000.00,753000000.00,,986000000.00,792000000.00,,
2008,12018000000.00,6281000000.00,46283000000.00,53400000000.00,68001000000.00,9967000000.00,46191000000.00,4918000000.00,12874000000.00,17586000000.00,14072000000.00,64422000000.00,1848000000.00,,21630000000.00,4852000000.00,4873000000.00,,7533000000.00,881000000.00,,1082000000.00,,5702000000.00,12895000000.00,2626000000.00,,11732000000.00,17589000000.00,1643000000.00,801000000.00,1248000000.00,505000000.00,564000000.00,382000000.00,585000000.00,293000000.00,15821000000.00,6722000000.00,,2954000000.00,11615000000.00,9228000000.00,3004000000.00,262000000.00,913000000.00,,1114000000.00,859000000.00,,
2007,12371000000.00,5978000000.00,48618000000.00,49333000000.00,63902000000.00,9263000000.00,46144000000.00,4351000000.00,11313000000.00,15687000000.00,12948000000.00,59910000000.00,1479000000.00,,18559000000.00,4181000000.00,4287000000.00,,5628000000.00,848000000.00,,1185000000.00,,5322000000.00,11728000000.00,2073000000.00,,11889000000.00,14725000000.00,1416000000.00,880000000.00,1154000000.00,440000000.00,522000000.00,317000000.00,479000000.00,229000000.00,12426000000.00,5320000000.00,,2465000000.00,9617000000.00,7775000000.00,2352000000.00,219000000.00,804000000.00,,1018000000.00,660000000.00,,
2006,11625000000.00,5562000000.00,44284000000.00,45537000000.00,54587000000.00,7664000000.00,41644000000.00,3819000000.00,9273000000.00,14495000000.00,10482000000.00,53160000000.00,1057000000.00,,16512000000.00,3317000000.00,3515000000.00,,4998000000.00,702000000.00,,966000000.00,,4289000000.00,8154000000.00,1675000000.00,,9714000000.00,12855000000.00,1361000000.00,622000000.00,1038000000.00,361000000.00,406000000.00,201000000.00,401000000.00,150000000.00,9720000000.00,4018000000.00,,2074000000.00,8296000000.00,6702000000.00,1655000000.00,156000000.00,658000000.00,,416000000.00,271000000.00,,
